,Название,Линия,lat,long
226,Аминьевская,Большая кольцевая линия,55.697222222222216,37.465
227,Мичуринский проспект,Большая кольцевая линия,55.68833333333333,37.48527777777778
228,Проспект Вернадского,Большая кольцевая линия,55.67833333333333,37.50388888888889
229,Новаторская,Большая кольцевая линия,55.669999999999995,37.52222222222222
230,Воронцовская,Большая кольцевая линия,55.65888888888889,37.53916666666667
231,Зюзино,Большая кольцевая линия,55.655833333333334,37.57361111111111
232,Каховская,Большая кольцевая линия,55.653055555555554,37.598333333333336
233,Варшавская,Большая кольцевая линия,55.65333333333333,37.61944444444445
234,Каширская,Большая кольцевая линия,55.655,37.64861111111111
235,Кленовый бульвар,Большая кольцевая линия,55.67472222222222,37.68222222222222
236,Нагатинский Затон,Большая кольцевая линия,55.68416666666666,37.70333333333333
237,Печатники,Большая кольцевая линия,55.69444444444444,37.727222222222224
238,Текстильщики,Большая кольцевая линия,55.708333333333336,37.72833333333333
239,Нижегородская,Большая кольцевая линия,55.7325,37.72833333333333
240,Авиамоторная,Большая кольцевая линия,55.75138888888889,37.71666666666667
241,Лефортово,Большая кольцевая линия,55.764722222222225,37.70666666666667
242,Электрозаводская,Большая кольцевая линия,55.780277777777776,37.70305555555556
243,Сокольники,Большая кольцевая линия,55.79111111111111,37.678888888888885
244,Рижская,Большая кольцевая линия,55.79361111111111,37.63583333333333
245,Марьина Роща,Большая кольцевая линия,55.79833333333333,37.617222222222225
246,Битцевский парк,Бутовская линия,55.60027777777778,37.55611111111111
247,Лесопарковая,Бутовская линия,55.58222222222223,37.57694444444445
248,Улица Старокачаловская,Бутовская линия,55.56888888888889,37.57666666666667
249,Улица Скобелевская,Бутовская линия,55.54805555555556,37.55472222222222
250,Бульвар Адмирала Ушакова,Бутовская линия,55.54555555555555,37.543055555555554
251,Улица Горчакова,Бутовская линия,55.541666666666664,37.530833333333334
252,Бунинская аллея,Бутовская линия,55.53805555555555,37.51583333333333
253,Нижегородская,Некрасовская линия,55.7325,37.72833333333333
254,Стахановская,Некрасовская линия,55.727222222222224,37.75222222222222
255,Окская,Некрасовская линия,55.718611111111116,37.78138888888889
256,Юго-Восточная,Некрасовская линия,55.70527777777778,37.81805555555556
257,Косино,Некрасовская линия,55.70333333333333,37.85111111111111
258,Улица Дмитриевского,Некрасовская линия,55.71027777777778,37.88
259,Лухмановская,Некрасовская линия,55.70861111111111,37.90083333333333
260,Некрасовка,Некрасовская линия,55.70277777777778,37.92833333333333
261,Новаторская,Троицкая линия,55.670833333333334,37.52027777777778
262,Университет дружбы народов,Троицкая линия,55.64888888888889,37.50833333333333
263,Генерала Тюленева,Троицкая линия,55.62638888888889,37.48777777777778
264,Тютчевская,Троицкая линия,55.61666666666667,37.481388888888894
265,Тимирязевская,Московский монорельс,55.81888888888889,37.57888888888889
266,Улица Милашенкова,Московский монорельс,55.82166666666667,37.59111111111111
267,Телецентр,Московский монорельс,55.82166666666667,37.60888888888889
268,Улица Академика Королёва,Московский монорельс,55.82166666666667,37.62694444444445
269,Выставочный центр,Московский монорельс,55.823888888888895,37.638333333333335
270,Улица Сергея Эйзенштейна,Московский монорельс,55.82916666666667,37.644999999999996
271,Окружная,Московское центральное кольцо,55.848888888888894,37.571111111111115
272,Владыкино,Московское центральное кольцо,55.84722222222222,37.591944444444444
273,Ботанический сад,Московское центральное кольцо,55.845555555555556,37.640277777777776
274,Ростокино,Московское центральное кольцо,55.839444444444446,37.66777777777777
275,Белокаменная,Московское центральное кольцо,55.82944444444445,37.7025
276,Бульвар Рокоссовского,Московское центральное кольцо,55.81722222222223,37.73694444444445
277,Локомотив,Московское центральное кольцо,55.803888888888885,37.74611111111111
278,Измайлово,Московское центральное кольцо,55.78861111111111,37.74277777777778
279,Соколиная Гора,Московское центральное кольцо,55.769999999999996,37.74527777777778
280,Шоссе Энтузиастов,Московское центральное кольцо,55.75888888888889,37.74638888888889
281,Андроновка,Московское центральное кольцо,55.7475,37.73833333333334
282,Нижегородская,Московское центральное кольцо,55.73222222222223,37.72833333333333
283,Новохохловская,Московское центральное кольцо,55.723888888888894,37.71611111111111
284,Угрешская,Московское центральное кольцо,55.718333333333334,37.69777777777777
285,Дубровка,Московское центральное кольцо,55.71277777777778,37.67777777777778
286,Автозаводская,Московское центральное кольцо,55.70638888888889,37.66305555555555
287,ЗИЛ,Московское центральное кольцо,55.69833333333333,37.64833333333333
288,Верхние Котлы,Московское центральное кольцо,55.69,37.61888888888889
289,Крымская,Московское центральное кольцо,55.69,37.605000000000004
290,Площадь Гагарина,Московское центральное кольцо,55.706944444444446,37.58583333333333
291,Лужники,Московское центральное кольцо,55.72083333333334,37.559999999999995
292,Кутузовская,Московское центральное кольцо,55.74,37.534166666666664
293,Шелепиха,Московское центральное кольцо,55.7575,37.525555555555556
294,Хорошёво,Московское центральное кольцо,55.77722222222222,37.507222222222225
295,Зорге,Московское центральное кольцо,55.78916666666667,37.50416666666667
296,Панфиловская,Московское центральное кольцо,55.79805555555556,37.499722222222225
297,Стрешнево,Московское центральное кольцо,55.81361111111111,37.48694444444445
298,Балтийская,Московское центральное кольцо,55.825833333333335,37.49611111111111
299,Коптево,Московское центральное кольцо,55.83972222222222,37.519999999999996
300,Лихоборы,Московское центральное кольцо,55.84722222222222,37.55138888888889
